epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,2560.58,0.46106,0.41317,0.92075,0.97162,0.96334,0.99032,0.93638,0.34131,0.28493,0.83358,0.00050005,0.00050005,0.00050005
103,2585.33,0.45654,0.40953,0.91718,0.98239,0.97273,0.99301,0.94379,0.32772,0.27,0.83066,0.0004951,0.0004951,0.0004951
104,2610.43,0.45094,0.40376,0.91236,0.98794,0.98233,0.99397,0.95073,0.32143,0.26179,0.8305,0.00049015,0.00049015,0.00049015
105,2635.25,0.44848,0.40103,0.9131,0.97765,0.9838,0.99394,0.94535,0.33256,0.26444,0.83641,0.0004852,0.0004852,0.0004852
106,2659.95,0.44689,0.40163,0.91335,0.9814,0.97629,0.99267,0.94163,0.33045,0.26543,0.83791,0.00048025,0.00048025,0.00048025
107,2684.92,0.46055,0.41295,0.9184,0.97994,0.97907,0.99228,0.94393,0.3326,0.26475,0.83596,0.0004753,0.0004753,0.0004753
108,2709.99,0.44456,0.40194,0.91179,0.98646,0.97334,0.9924,0.94539,0.32468,0.2631,0.831,0.00047035,0.00047035,0.00047035
109,2734.64,0.45536,0.41233,0.91836,0.9828,0.9788,0.99355,0.94594,0.33016,0.26904,0.83384,0.0004654,0.0004654,0.0004654
110,2759.95,0.45056,0.4068,0.91594,0.98036,0.98529,0.99338,0.945,0.33105,0.26009,0.83546,0.00046045,0.00046045,0.00046045
111,2784.82,0.44256,0.39999,0.9131,0.98194,0.98273,0.99304,0.94263,0.33364,0.26019,0.83385,0.0004555,0.0004555,0.0004555
112,2809.93,0.45228,0.40748,0.91846,0.98776,0.98356,0.99407,0.94556,0.32609,0.25883,0.83205,0.00045055,0.00045055,0.00045055
113,2835.13,0.44851,0.4024,0.91765,0.98733,0.9828,0.99397,0.94564,0.32419,0.25682,0.83004,0.0004456,0.0004456,0.0004456
114,2859.72,0.4463,0.40065,0.91436,0.98327,0.98244,0.99381,0.94638,0.32461,0.25749,0.83021,0.00044065,0.00044065,0.00044065
115,2884.34,0.44976,0.40473,0.91474,0.98066,0.98301,0.99402,0.95141,0.32298,0.25713,0.82994,0.0004357,0.0004357,0.0004357
116,2909.39,0.44724,0.40157,0.91474,0.97575,0.98629,0.99362,0.94508,0.33137,0.26029,0.83168,0.00043075,0.00043075,0.00043075
117,2934.55,0.44399,0.39447,0.90998,0.98356,0.98005,0.99272,0.9412,0.3385,0.2625,0.83703,0.0004258,0.0004258,0.0004258
118,2959.11,0.44373,0.39838,0.9126,0.98419,0.97855,0.99341,0.94354,0.32791,0.26134,0.83642,0.00042085,0.00042085,0.00042085
119,2983.63,0.45019,0.41257,0.91917,0.97879,0.98122,0.9924,0.94886,0.31623,0.25863,0.83018,0.0004159,0.0004159,0.0004159
120,3008.34,0.4481,0.40209,0.91558,0.97841,0.98423,0.99362,0.95053,0.30809,0.25121,0.82793,0.00041095,0.00041095,0.00041095
121,3032.86,0.4411,0.39678,0.91208,0.98783,0.98449,0.99417,0.94883,0.31839,0.25488,0.83098,0.000406,0.000406,0.000406
122,3057.72,0.44381,0.39237,0.91319,0.9821,0.98429,0.9934,0.94914,0.31958,0.25396,0.83056,0.00040105,0.00040105,0.00040105
123,3082.71,0.44547,0.40231,0.91831,0.98101,0.98566,0.99343,0.94855,0.31646,0.24912,0.83041,0.0003961,0.0003961,0.0003961
124,3107.56,0.44581,0.40128,0.91637,0.98501,0.97956,0.99279,0.94651,0.32306,0.25983,0.83336,0.00039115,0.00039115,0.00039115
125,3132.38,0.43597,0.39486,0.90834,0.98872,0.98264,0.99412,0.95149,0.31712,0.24698,0.82831,0.0003862,0.0003862,0.0003862
126,3157.16,0.43167,0.38176,0.91029,0.99124,0.98641,0.9945,0.94981,0.31679,0.25206,0.82928,0.00038125,0.00038125,0.00038125
127,3181.95,0.44152,0.38889,0.90932,0.98862,0.98544,0.99423,0.95042,0.31733,0.24786,0.82708,0.0003763,0.0003763,0.0003763
128,3206.67,0.43337,0.38957,0.913,0.98644,0.98559,0.9938,0.94823,0.32637,0.25137,0.83269,0.00037135,0.00037135,0.00037135
129,3231.57,0.43475,0.38669,0.9096,0.98362,0.98848,0.99396,0.94965,0.31469,0.24795,0.82854,0.0003664,0.0003664,0.0003664
130,3256.26,0.43401,0.39014,0.9113,0.97751,0.97804,0.99268,0.94811,0.32002,0.26168,0.8298,0.00036145,0.00036145,0.00036145
131,3281.09,0.43618,0.39098,0.91093,0.9819,0.98891,0.99405,0.94773,0.31992,0.24722,0.82651,0.0003565,0.0003565,0.0003565
132,3305.9,0.4301,0.38837,0.9085,0.98233,0.97472,0.9924,0.94668,0.32296,0.25394,0.83468,0.00035155,0.00035155,0.00035155
133,3330.75,0.43342,0.39081,0.91008,0.98105,0.98609,0.99335,0.94828,0.32012,0.24918,0.83238,0.0003466,0.0003466,0.0003466
134,3356.02,0.42882,0.38461,0.90927,0.98418,0.98645,0.99383,0.95044,0.31421,0.24634,0.82917,0.00034165,0.00034165,0.00034165
135,3381.28,0.4337,0.38771,0.9114,0.99037,0.98589,0.9941,0.95318,0.30968,0.24362,0.8298,0.0003367,0.0003367,0.0003367
136,3405.54,0.42425,0.37949,0.90508,0.9856,0.99001,0.99382,0.95247,0.31232,0.2432,0.83301,0.00033175,0.00033175,0.00033175
137,3429.58,0.42395,0.37786,0.90436,0.98825,0.98351,0.99406,0.9509,0.32141,0.24415,0.82684,0.0003268,0.0003268,0.0003268
138,3453.9,0.42748,0.38246,0.91096,0.98731,0.98948,0.99454,0.94957,0.32037,0.24074,0.82794,0.00032185,0.00032185,0.00032185
139,3479.17,0.42498,0.37416,0.90217,0.9876,0.98807,0.99436,0.95182,0.31244,0.24126,0.82734,0.0003169,0.0003169,0.0003169
140,3504.25,0.43463,0.38323,0.913,0.98168,0.98693,0.99379,0.95038,0.31462,0.24324,0.82816,0.00031195,0.00031195,0.00031195
141,3529.28,0.42729,0.3814,0.91051,0.98262,0.98624,0.9939,0.95172,0.30933,0.24466,0.83113,0.000307,0.000307,0.000307
142,3553.95,0.42401,0.3797,0.90393,0.99331,0.98483,0.99444,0.95486,0.30483,0.23752,0.82715,0.00030205,0.00030205,0.00030205
143,3578.46,0.42111,0.37871,0.90607,0.98811,0.97967,0.99396,0.95307,0.30828,0.24176,0.82724,0.0002971,0.0002971,0.0002971
144,3602.58,0.41555,0.3728,0.90263,0.9818,0.98322,0.99354,0.95344,0.3069,0.24124,0.82549,0.00029215,0.00029215,0.00029215
145,3627.13,0.42308,0.3757,0.90561,0.9907,0.98075,0.99397,0.9516,0.30669,0.24261,0.8272,0.0002872,0.0002872,0.0002872
146,3652,0.41824,0.37201,0.89936,0.98505,0.98652,0.99421,0.94988,0.31264,0.24025,0.83306,0.00028225,0.00028225,0.00028225
147,3676.99,0.42117,0.37553,0.90341,0.98931,0.98118,0.99426,0.95103,0.31653,0.23676,0.82725,0.0002773,0.0002773,0.0002773
148,3701.99,0.4206,0.37328,0.90481,0.98663,0.9878,0.99437,0.95301,0.31082,0.2377,0.82892,0.00027235,0.00027235,0.00027235
149,3726.86,0.41984,0.37188,0.90474,0.99064,0.98793,0.99445,0.95333,0.30675,0.23448,0.82722,0.0002674,0.0002674,0.0002674
150,3752.15,0.41326,0.36806,0.90256,0.98662,0.98559,0.9942,0.94974,0.31673,0.24182,0.83269,0.00026245,0.00026245,0.00026245
151,3777.4,0.42419,0.37677,0.90438,0.98879,0.98506,0.99409,0.95024,0.31424,0.23648,0.83042,0.0002575,0.0002575,0.0002575
152,3802.1,0.41957,0.37188,0.90621,0.98713,0.98178,0.99297,0.94745,0.31898,0.24312,0.83567,0.00025255,0.00025255,0.00025255
153,3826.64,0.41235,0.36655,0.90091,0.98646,0.98172,0.99354,0.94982,0.31463,0.23613,0.83154,0.0002476,0.0002476,0.0002476
154,3850.76,0.42376,0.37536,0.90817,0.98653,0.98384,0.99361,0.95225,0.31685,0.23812,0.82855,0.00024265,0.00024265,0.00024265
155,3875.41,0.41517,0.36841,0.90305,0.9879,0.98006,0.99338,0.95245,0.30255,0.23948,0.82608,0.0002377,0.0002377,0.0002377
156,3900.72,0.40965,0.36073,0.90191,0.98587,0.98147,0.9931,0.94914,0.30515,0.24024,0.83161,0.00023275,0.00023275,0.00023275
157,3925.44,0.41126,0.36077,0.8996,0.9878,0.9836,0.99372,0.95153,0.31073,0.23764,0.83121,0.0002278,0.0002278,0.0002278
